event_id,vehicle_id,timestamp,speed_mph,fuel_level_pct,engine_temperature_c,latitude,longitude
EVT-00051,VH-007,2024-06-10 10:10:00,49.25,63.73,91.17,51.37067,-2.115518
EVT-00052,VH-008,2024-06-10 10:15:00,1.03,87.13,89.86,51.576744,-1.803754
EVT-00053,VH-010,2024-06-10 10:20:00,5.65,22.93,99.52,51.574322,-2.134745
EVT-00054,VH-007,2024-06-10 10:25:00,56.59,45.32,71.78,51.572752,-2.102339
EVT-00055,VH-003,2024-06-10 10:30:00,84.76,18.9,91.16,51.387271,-2.186366
EVT-00056,VH-006,2024-06-10 10:35:00,31.96,38.68,85.77,51.421758,-2.175225
EVT-00057,VH-002,2024-06-10 10:40:00,61.86,65.54,106.06,51.439349,-1.816004
EVT-00058,VH-009,2024-06-10 10:45:00,60.89,56.78,70.92,51.508622,-1.805828
EVT-00059,VH-007,2024-06-10 10:50:00,74.94,70.56,91.84,51.311581,-2.167352
EVT-00060,VH-007,2024-06-10 10:55:00,63.07,67.87,91.53,51.458672,-2.033258
EVT-00061,VH-003,2024-06-10 11:00:00,74.96,77.54,91.27,51.550136,-2.085341
EVT-00062,VH-001,2024-06-10 11:05:00,12.94,79.5,99.9,51.495058,-2.114188
EVT-00063,VH-005,2024-06-10 11:10:00,20.03,21.84,103.28,51.3815,-2.129467
EVT-00064,VH-004,2024-06-10 11:15:00,25.54,49.71,85.63,51.44674,-1.902419
EVT-00065,VH-003,2024-06-10 11:20:00,51.6,49.67,97.17,51.462369,-1.93393
EVT-00066,VH-004,2024-06-10 11:25:00,45.1,62.79,102.79,51.399973,-1.836332
EVT-00067,VH-002,2024-06-10 11:30:00,58.36,72.14,106.11,51.577426,-2.11409
EVT-00068,VH-007,2024-06-10 11:35:00,40.11,34.95,88.52,51.318695,-1.898599
EVT-00069,VH-004,2024-06-10 11:40:00,19.6,18.84,79.3,51.366992,-2.055535
EVT-00070,VH-006,2024-06-10 11:45:00,20.13,75.92,89.59,51.369989,-2.188139
EVT-00071,VH-005,2024-06-10 11:50:00,32.88,50.55,71.93,51.360414,-1.994392
EVT-00072,VH-006,2024-06-10 11:55:00,58.98,36.15,82.23,51.584983,-2.069502
EVT-00073,VH-007,2024-06-10 12:00:00,47.77,98.47,76.76,51.551793,-2.012672
EVT-00074,VH-001,2024-06-10 12:05:00,74.44,40.67,70.27,51.572003,-2.140848
EVT-00075,VH-004,2024-06-10 12:10:00,7.74,21.17,84.45,51.536433,-2.019482
EVT-00076,VH-006,2024-06-10 12:15:00,62.64,96.42,94.04,51.416062,-1.805516
EVT-00077,VH-008,2024-06-10 12:20:00,71.82,98.83,72.96,51.318329,-1.994426
EVT-00078,VH-007,2024-06-10 12:25:00,43.93,93.19,91.05,51.443969,-1.845798
EVT-00079,VH-009,2024-06-10 12:30:00,33.42,90.04,109.22,51.525721,-1.986033
EVT-00080,VH-009,2024-06-10 12:35:00,43.21,51.16,70.61,51.311944,-2.175197
EVT-00081,VH-007,2024-06-10 12:40:00,40.0,27.32,94.38,51.563262,-2.020876
EVT-00082,VH-004,2024-06-10 12:45:00,80.37,55.57,104.09,51.302789,-1.829752
EVT-00083,VH-010,2024-06-10 12:50:00,44.41,68.13,77.14,51.416586,-1.980619
EVT-00084,VH-001,2024-06-10 12:55:00,38.2,45.81,107.43,51.374197,-2.131567
EVT-00085,VH-006,2024-06-10 13:00:00,17.66,24.63,100.44,51.423965,-1.952821
EVT-00086,VH-005,2024-06-10 13:05:00,51.4,14.02,75.22,51.358252,-2.161807
EVT-00087,VH-009,2024-06-10 13:10:00,57.24,27.89,100.53,51.541963,-2.071638
EVT-00088,VH-003,2024-06-10 13:15:00,71.3,88.78,85.85,51.55233,-1.813603
EVT-00089,VH-010,2024-06-10 13:20:00,69.2,89.75,92.91,51.418917,-2.07533
EVT-00090,VH-005,2024-06-10 13:25:00,24.86,11.9,76.81,51.408905,-2.199775
EVT-00091,VH-005,2024-06-10 13:30:00,9.38,54.45,88.36,51.413513,-2.043763
EVT-00092,VH-004,2024-06-10 13:35:00,30.19,42.58,82.86,51.454594,-2.0033
EVT-00093,VH-007,2024-06-10 13:40:00,17.77,69.33,79.6,51.463135,-1.916274
EVT-00094,VH-004,2024-06-10 13:45:00,42.1,41.2,96.61,51.570553,-1.926862
EVT-00095,VH-005,2024-06-10 13:50:00,40.85,50.37,98.32,51.304184,-2.126271
EVT-00096,VH-010,2024-06-10 13:55:00,44.53,58.4,105.05,51.31933,-2.098323
EVT-00097,VH-006,2024-06-10 14:00:00,4.35,71.68,85.82,51.449666,-1.864533
EVT-00098,VH-004,2024-06-10 14:05:00,28.29,55.96,73.49,51.48043,-2.149225
EVT-00099,VH-008,2024-06-10 14:10:00,79.71,31.05,71.71,51.427968,-1.847928
EVT-00100,VH-005,2024-06-10 14:15:00,55.97,83.6,85.1,51.535757,-1.881726
